time_id,account_id,dept_id,scenario_id,version_id,amount,variance_flag,variance_explanation,data_source
2024-01,REV-001,DEPT-NA-SALES,BUD,V2,500000,0,,Budget System
2024-01,REV-001,DEPT-NA-SALES,ACT,V1,325000,1,Two major deals slipped to February: Acme Corp $120K (procurement delayed) and TechStart $80K (budget freeze). Timing-related variance.,ERP Actuals
2024-01,REV-001,DEPT-EMEA-SALES,BUD,V2,380000,0,,Budget System
2024-01,REV-001,DEPT-EMEA-SALES,ACT,V1,420000,1,Unexpected enterprise deal closed early (GlobalTech $45K). Strong Q1 performance.,ERP Actuals
2024-01,REV-001,DEPT-APAC-SALES,BUD,V2,280000,0,,Budget System
2024-01,REV-001,DEPT-APAC-SALES,ACT,V1,275000,0,,ERP Actuals
2024-01,REV-001,DEPT-LATAM-SALES,BUD,V2,150000,0,,Budget System
2024-01,REV-001,DEPT-LATAM-SALES,ACT,V1,148000,0,,ERP Actuals
2024-01,REV-002,DEPT-PROF-SVC,BUD,V2,250000,0,,Budget System
2024-01,REV-002,DEPT-PROF-SVC,ACT,V1,235000,1,Implementation project delayed by 2 weeks due to customer resource constraints.,ERP Actuals
2024-01,REV-003,DEPT-NA-SALES,BUD,V2,180000,0,,Budget System
2024-01,REV-003,DEPT-NA-SALES,ACT,V1,182000,0,,ERP Actuals
2024-01,REV-003,DEPT-EMEA-SALES,BUD,V2,140000,0,,Budget System
2024-01,REV-003,DEPT-EMEA-SALES,ACT,V1,145000,0,,ERP Actuals
2024-01,REV-004,DEPT-CUST-SUC,BUD,V2,95000,0,,Budget System
2024-01,REV-004,DEPT-CUST-SUC,ACT,V1,98000,0,,ERP Actuals
2024-01,COGS-001,DEPT-PROF-SVC,BUD,V2,75000,0,,Budget System
2024-01,COGS-001,DEPT-PROF-SVC,ACT,V1,82000,1,Higher contractor costs due to skill shortage in cloud migration projects.,ERP Actuals
2024-01,COGS-002,DEPT-PROF-SVC,BUD,V2,50000,0,,Budget System
2024-01,COGS-002,DEPT-PROF-SVC,ACT,V1,53000,0,,ERP Actuals
2024-01,OPEX-001,DEPT-NA-SALES,BUD,V2,120000,0,,Budget System
2024-01,OPEX-001,DEPT-NA-SALES,ACT,V1,145000,1,Unplanned trade show participation ($18K) and additional headcount hired in December.,ERP Actuals
2024-01,OPEX-001,DEPT-EMEA-SALES,BUD,V2,95000,0,,Budget System
2024-01,OPEX-001,DEPT-EMEA-SALES,ACT,V1,98000,0,,ERP Actuals
2024-01,OPEX-004,DEPT-NA-SALES,BUD,V2,50000,0,,Budget System
2024-01,OPEX-004,DEPT-NA-SALES,ACT,V1,32500,1,Lower commissions due to revenue miss. Directly correlated to deal slippage.,ERP Actuals
2024-01,OPEX-005,DEPT-MARKETING,BUD,V2,85000,0,,Budget System
2024-01,OPEX-005,DEPT-MARKETING,ACT,V1,92000,1,Digital campaign overspend ($7K) to support Q1 pipeline generation.,ERP Actuals
2024-01,OPEX-002,DEPT-PROD-ENG,BUD,V2,450000,0,,Budget System
2024-01,OPEX-002,DEPT-PROD-ENG,ACT,V1,468000,1,Cloud infrastructure costs increased 4% due to higher-than-expected user growth.,ERP Actuals
2024-01,OPEX-002,DEPT-CLOUD-OPS,BUD,V2,180000,0,,Budget System
2024-01,OPEX-002,DEPT-CLOUD-OPS,ACT,V1,185000,0,,ERP Actuals
2024-01,OPEX-007,DEPT-IT,BUD,V2,75000,0,,Budget System
2024-01,OPEX-007,DEPT-IT,ACT,V1,89000,1,Emergency security patch deployment and additional AWS costs.,ERP Actuals
2024-01,OPEX-003,DEPT-FINANCE,BUD,V2,110000,0,,Budget System
2024-01,OPEX-003,DEPT-FINANCE,ACT,V1,112000,0,,ERP Actuals
2024-01,OPEX-003,DEPT-HR,BUD,V2,85000,0,,Budget System
2024-01,OPEX-003,DEPT-HR,ACT,V1,87000,0,,ERP Actuals
2024-02,REV-001,DEPT-NA-SALES,BUD,V2,520000,0,,Budget System
2024-02,REV-001,DEPT-NA-SALES,ACT,V1,695000,1,Slipped deals from January closed (Acme $120K + TechStart $80K) plus new deals.,ERP Actuals
2024-02,REV-001,DEPT-EMEA-SALES,BUD,V2,390000,0,,Budget System
2024-02,REV-001,DEPT-EMEA-SALES,ACT,V1,385000,0,,ERP Actuals
2024-02,REV-001,DEPT-APAC-SALES,BUD,V2,290000,0,,Budget System
2024-02,REV-001,DEPT-APAC-SALES,ACT,V1,295000,0,,ERP Actuals
2024-02,REV-001,DEPT-LATAM-SALES,BUD,V2,155000,0,,Budget System
2024-02,REV-001,DEPT-LATAM-SALES,ACT,V1,162000,0,,ERP Actuals
2024-02,REV-002,DEPT-PROF-SVC,BUD,V2,260000,0,,Budget System
2024-02,REV-002,DEPT-PROF-SVC,ACT,V1,278000,1,Catch-up revenue from January delayed project plus new engagements.,ERP Actuals
2024-02,REV-003,DEPT-NA-SALES,BUD,V2,185000,0,,Budget System
2024-02,REV-003,DEPT-NA-SALES,ACT,V1,188000,0,,ERP Actuals
2024-02,REV-003,DEPT-EMEA-SALES,BUD,V2,145000,0,,Budget System
2024-02,REV-003,DEPT-EMEA-SALES,ACT,V1,142000,0,,ERP Actuals
2024-02,COGS-001,DEPT-PROF-SVC,BUD,V2,78000,0,,Budget System
2024-02,COGS-001,DEPT-PROF-SVC,ACT,V1,89000,1,Continued contractor premium and overtime for project catch-up.,ERP Actuals
2024-02,OPEX-001,DEPT-NA-SALES,BUD,V2,125000,0,,Budget System
2024-02,OPEX-001,DEPT-NA-SALES,ACT,V1,128000,0,,ERP Actuals
2024-02,OPEX-004,DEPT-NA-SALES,BUD,V2,52000,0,,Budget System
2024-02,OPEX-004,DEPT-NA-SALES,ACT,V1,69500,1,Higher commissions due to strong February revenue performance.,ERP Actuals
2024-02,OPEX-002,DEPT-PROD-ENG,BUD,V2,455000,0,,Budget System
2024-02,OPEX-002,DEPT-PROD-ENG,ACT,V1,462000,0,,ERP Actuals
2024-02,OPEX-005,DEPT-MARKETING,BUD,V2,88000,0,,Budget System
2024-02,OPEX-005,DEPT-MARKETING,ACT,V1,85000,0,,ERP Actuals
2024-03,REV-001,DEPT-NA-SALES,BUD,V2,540000,0,,Budget System
2024-03,REV-001,DEPT-NA-SALES,ACT,V1,525000,0,,ERP Actuals
2024-03,REV-001,DEPT-EMEA-SALES,BUD,V2,400000,0,,Budget System
2024-03,REV-001,DEPT-EMEA-SALES,ACT,V1,415000,0,,ERP Actuals
2024-03,REV-001,DEPT-APAC-SALES,BUD,V2,280000,0,,Budget System
2024-03,REV-001,DEPT-APAC-SALES,ACT,V1,195000,1,Major deal pushed to Q2 due to regulatory approval delays in China ($90K).,ERP Actuals
2024-03,REV-001,DEPT-LATAM-SALES,BUD,V2,160000,0,,Budget System
2024-03,REV-001,DEPT-LATAM-SALES,ACT,V1,168000,0,,ERP Actuals
2024-03,REV-002,DEPT-PROF-SVC,BUD,V2,270000,0,,Budget System
2024-03,REV-002,DEPT-PROF-SVC,ACT,V1,265000,0,,ERP Actuals
2024-03,REV-003,DEPT-NA-SALES,BUD,V2,190000,0,,Budget System
2024-03,REV-003,DEPT-NA-SALES,ACT,V1,195000,0,,ERP Actuals
2024-03,OPEX-001,DEPT-NA-SALES,BUD,V2,130000,0,,Budget System
2024-03,OPEX-001,DEPT-NA-SALES,ACT,V1,135000,0,,ERP Actuals
2024-03,OPEX-006,DEPT-NA-SALES,BUD,V2,45000,0,,Budget System
2024-03,OPEX-006,DEPT-NA-SALES,ACT,V1,62000,1,Increased customer visits and partner conference attendance.,ERP Actuals
2024-03,OPEX-008,DEPT-FINANCE,BUD,V2,35000,0,,Budget System
2024-03,OPEX-008,DEPT-FINANCE,ACT,V1,48000,1,Unplanned audit fees for SOX compliance review.,ERP Actuals
2024-03,OPEX-002,DEPT-PROD-ENG,BUD,V2,460000,0,,Budget System
2024-03,OPEX-002,DEPT-PROD-ENG,ACT,V1,458000,0,,ERP Actuals
2024-04,REV-001,DEPT-NA-SALES,BUD,V2,550000,0,,Budget System
2024-04,REV-001,DEPT-NA-SALES,ACT,V1,580000,0,,ERP Actuals
2024-04,REV-001,DEPT-APAC-SALES,BUD,V2,300000,0,,Budget System
2024-04,REV-001,DEPT-APAC-SALES,ACT,V1,385000,1,Q1 delayed China deal closed ($90K) plus strong new pipeline execution.,ERP Actuals
2024-04,REV-002,DEPT-PROF-SVC,BUD,V2,275000,0,,Budget System
2024-04,REV-002,DEPT-PROF-SVC,ACT,V1,290000,0,,ERP Actuals
2024-04,OPEX-001,DEPT-NA-SALES,BUD,V2,135000,0,,Budget System
2024-04,OPEX-001,DEPT-NA-SALES,ACT,V1,138000,0,,ERP Actuals
2024-04,OPEX-002,DEPT-PROD-ENG,BUD,V2,465000,0,,Budget System
2024-04,OPEX-002,DEPT-PROD-ENG,ACT,V1,485000,1,New product launch infrastructure costs and increased headcount.,ERP Actuals
2024-05,REV-001,DEPT-NA-SALES,BUD,V2,560000,0,,Budget System
2024-05,REV-001,DEPT-NA-SALES,ACT,V1,545000,0,,ERP Actuals
2024-05,REV-001,DEPT-EMEA-SALES,BUD,V2,420000,0,,Budget System
2024-05,REV-001,DEPT-EMEA-SALES,ACT,V1,385000,1,Economic uncertainty in UK market impacting deal velocity.,ERP Actuals
2024-05,OPEX-005,DEPT-MARKETING,BUD,V2,95000,0,,Budget System
2024-05,OPEX-005,DEPT-MARKETING,ACT,V1,118000,1,Major industry conference sponsorship and product launch campaign.,ERP Actuals
2024-06,REV-001,DEPT-NA-SALES,BUD,V2,570000,0,,Budget System
2024-06,REV-001,DEPT-NA-SALES,ACT,V1,595000,0,,ERP Actuals
2024-06,REV-001,DEPT-EMEA-SALES,BUD,V2,430000,0,,Budget System
2024-06,REV-001,DEPT-EMEA-SALES,ACT,V1,445000,0,,ERP Actuals
2024-06,OPEX-002,DEPT-PROD-ENG,BUD,V2,470000,0,,Budget System
2024-06,OPEX-002,DEPT-PROD-ENG,ACT,V1,472000,0,,ERP Actuals
2025-01,REV-001,DEPT-NA-SALES,BUD,V2,580000,0,,Budget System
2025-01,REV-001,DEPT-NA-SALES,ACT,V1,625000,1,Strong start to FY2025 with enterprise pipeline conversion exceeding plan.,ERP Actuals
2025-01,REV-001,DEPT-EMEA-SALES,BUD,V2,440000,0,,Budget System
2025-01,REV-001,DEPT-EMEA-SALES,ACT,V1,428000,0,,ERP Actuals
2025-01,OPEX-001,DEPT-NA-SALES,BUD,V2,145000,0,,Budget System
2025-01,OPEX-001,DEPT-NA-SALES,ACT,V1,158000,1,New sales territory expansion and additional headcount.,ERP Actuals
2025-02,REV-001,DEPT-NA-SALES,BUD,V2,590000,0,,Budget System
2025-02,REV-001,DEPT-NA-SALES,ACT,V1,575000,0,,ERP Actuals
2025-02,REV-001,DEPT-APAC-SALES,BUD,V2,350000,0,,Budget System
2025-02,REV-001,DEPT-APAC-SALES,ACT,V1,295000,1,Japan market softness and delayed government sector deals.,ERP Actuals
2025-03,REV-001,DEPT-NA-SALES,BUD,V2,600000,0,,Budget System
2025-03,REV-001,DEPT-NA-SALES,ACT,V1,615000,0,,ERP Actuals
2025-03,OPEX-002,DEPT-PROD-ENG,BUD,V2,520000,0,,Budget System
2025-03,OPEX-002,DEPT-PROD-ENG,ACT,V1,565000,1,AI/ML platform development acceleration and cloud compute costs.,ERP Actuals
2026-01,REV-001,DEPT-NA-SALES,BUD,V2,620000,0,,Budget System
2026-01,REV-001,DEPT-NA-SALES,ACT,V1,595000,0,,ERP Actuals
2026-01,REV-001,DEPT-EMEA-SALES,BUD,V2,480000,0,,Budget System
2026-01,REV-001,DEPT-EMEA-SALES,ACT,V1,510000,0,,ERP Actuals
2026-01,OPEX-002,DEPT-PROD-ENG,BUD,V2,550000,0,,Budget System
2026-01,OPEX-002,DEPT-PROD-ENG,ACT,V1,548000,0,,ERP Actuals
2026-02,REV-001,DEPT-NA-SALES,BUD,V2,630000,0,,Budget System
2026-02,REV-001,DEPT-NA-SALES,ACT,V1,655000,0,,ERP Actuals
2026-02,REV-001,DEPT-APAC-SALES,BUD,V2,400000,0,,Budget System
2026-02,REV-001,DEPT-APAC-SALES,ACT,V1,425000,0,,ERP Actuals
2026-03,REV-001,DEPT-NA-SALES,BUD,V2,640000,0,,Budget System
2026-03,REV-001,DEPT-NA-SALES,ACT,V1,638000,0,,ERP Actuals
2026-04,REV-001,DEPT-NA-SALES,BUD,V2,650000,0,,Budget System
2026-04,REV-001,DEPT-NA-SALES,ACT,V1,672000,0,,ERP Actuals
2026-05,REV-001,DEPT-NA-SALES,BUD,V2,660000,0,,Budget System
2026-05,REV-001,DEPT-NA-SALES,ACT,V1,645000,0,,ERP Actuals
2026-06,REV-001,DEPT-NA-SALES,BUD,V2,670000,0,,Budget System
2023-01,REV-001,DEPT-NA-SALES,PY-ACT,V1,450000,0,,ERP Actuals
2023-02,REV-001,DEPT-NA-SALES,PY-ACT,V1,480000,0,,ERP Actuals
2023-03,REV-001,DEPT-NA-SALES,PY-ACT,V1,490000,0,,ERP Actuals
2023-04,REV-001,DEPT-NA-SALES,PY-ACT,V1,510000,0,,ERP Actuals
2023-05,REV-001,DEPT-NA-SALES,PY-ACT,V1,520000,0,,ERP Actuals
2023-06,REV-001,DEPT-NA-SALES,PY-ACT,V1,530000,0,,ERP Actuals
2023-01,REV-001,DEPT-EMEA-SALES,PY-ACT,V1,350000,0,,ERP Actuals
2023-02,REV-001,DEPT-EMEA-SALES,PY-ACT,V1,360000,0,,ERP Actuals
2023-03,REV-001,DEPT-EMEA-SALES,PY-ACT,V1,375000,0,,ERP Actuals
2023-01,REV-001,DEPT-APAC-SALES,PY-ACT,V1,250000,0,,ERP Actuals
2023-02,REV-001,DEPT-APAC-SALES,PY-ACT,V1,260000,0,,ERP Actuals
2023-03,REV-001,DEPT-APAC-SALES,PY-ACT,V1,265000,0,,ERP Actuals
2023-01,OPEX-002,DEPT-PROD-ENG,PY-ACT,V1,420000,0,,ERP Actuals
2023-02,OPEX-002,DEPT-PROD-ENG,PY-ACT,V1,425000,0,,ERP Actuals
2023-03,OPEX-002,DEPT-PROD-ENG,PY-ACT,V1,430000,0,,ERP Actuals
2024-01,REV-001,DEPT-NA-SALES,PY-ACT,V1,450000,0,,ERP Actuals
2024-02,REV-001,DEPT-NA-SALES,PY-ACT,V1,480000,0,,ERP Actuals
2024-03,REV-001,DEPT-NA-SALES,PY-ACT,V1,490000,0,,ERP Actuals
2024-04,REV-001,DEPT-NA-SALES,PY-ACT,V1,510000,0,,ERP Actuals
2024-05,REV-001,DEPT-NA-SALES,PY-ACT,V1,520000,0,,ERP Actuals
2024-06,REV-001,DEPT-NA-SALES,PY-ACT,V1,530000,0,,ERP Actuals
2025-01,REV-001,DEPT-NA-SALES,PY-ACT,V1,325000,0,,ERP Actuals
2025-02,REV-001,DEPT-NA-SALES,PY-ACT,V1,695000,0,,ERP Actuals
2025-03,REV-001,DEPT-NA-SALES,PY-ACT,V1,525000,0,,ERP Actuals
2025-04,REV-001,DEPT-NA-SALES,PY-ACT,V1,580000,0,,ERP Actuals
2025-05,REV-001,DEPT-NA-SALES,PY-ACT,V1,545000,0,,ERP Actuals
2025-06,REV-001,DEPT-NA-SALES,PY-ACT,V1,595000,0,,ERP Actuals
2026-06,REV-001,DEPT-NA-SALES,FC-Q2,V4,685000,0,,Forecast System